trade_date,ic,rank_ic,abs_ic,p_value,n_samples,significant,cum_ic,cum_rank_ic
2023-08-11,0.16956690877385364,0.16956690877385364,0.16956690877385364,5.99181856838887e-32,4746,True,93.06817612303664,93.06817612303664
2023-08-14,-0.006389108917378898,-0.006389108917378898,0.006389108917378898,0.6598058912060047,4749,False,93.06178701411926,93.06178701411926
2023-08-15,0.034918527209028626,0.034918527209028626,0.034918527209028626,0.016053033383332572,4754,True,93.09670554132829,93.09670554132829
2023-08-16,0.0988145587297171,0.0988145587297171,0.0988145587297171,8.560804646237433e-12,4755,True,93.195520100058,93.195520100058
2023-08-17,0.035853065808554664,0.035853065808554664,0.035853065808554664,0.013419158001491013,4755,True,93.23137316586656,93.23137316586656
2023-08-18,-0.035209354604957124,-0.035209354604957124,0.035209354604957124,0.015191842475742097,4754,True,93.1961638112616,93.1961638112616
2023-08-21,0.05171788424344093,0.05171788424344093,0.05171788424344093,0.00036059688620109897,4754,True,93.24788169550504,93.24788169550504
2023-08-22,0.07176953059669876,0.07176953059669876,0.07176953059669876,7.287425184780607e-07,4754,True,93.31965122610174,93.31965122610174
2023-08-23,0.13845479556896173,0.13845479556896173,0.13845479556896173,8.717268256311477e-22,4755,True,93.4581060216707,93.4581060216707
2023-08-24,0.04331159020939046,0.04331159020939046,0.04331159020939046,0.002812262465958978,4756,True,93.50141761188009,93.50141761188009
2023-08-25,-0.0812582452659722,-0.0812582452659722,0.0812582452659722,2.003689323753414e-08,4756,True,93.42015936661412,93.42015936661412
2023-08-28,0.19558245324907508,0.19558245324907508,0.19558245324907508,3.143656560134244e-42,4757,True,93.61574181986319,93.61574181986319
2023-08-29,0.08295325229883178,0.08295325229883178,0.08295325229883178,1.0094091694924281e-08,4756,True,93.69869507216202,93.69869507216202
2023-08-30,-0.057596417498152155,-0.057596417498152155,0.057596417498152155,7.058042441470145e-05,4756,True,93.64109865466388,93.64109865466388
2023-08-31,0.05020694558909363,0.05020694558909363,0.05020694558909363,0.0005312920674697337,4758,True,93.69130560025297,93.69130560025297
2023-09-01,0.0444599398054611,0.0444599398054611,0.0444599398054611,0.0021540640560135816,4760,True,93.73576554005844,93.73576554005844
