trade_date,portfolio_return,n_stocks,avg_factor,cum_return
2010-10-26,0.004643133645852018,295,1.2653989616275236,0.0046431336458521155
2010-10-27,0.012666116068608879,293,1.2728153768891703,0.017368060184141276
2010-10-28,0.0280753476661731,296,1.221900443204027,0.045931022178271164
2010-10-29,-0.0052665496459928084,296,1.3484640173036695,0.04042257452368525
2010-11-01,-0.015241575081147946,296,1.3746398915525266,0.024564895737961168
2010-11-02,0.017573347755790142,297,1.1796410746173638,0.04256993094913941
2010-11-03,0.014138212487932681,298,1.186954091049355,0.057310006166427785
2010-11-04,0.024386015225675902,298,1.2611953182181683,0.08309358407506173
2010-11-05,0.003757549702345417,298,1.3148319148819236,0.08716336204951514
2010-11-08,0.0036466971460409523,296,1.2544299691400378,0.09112791757918126
2010-11-09,-0.011432944589570681,297,1.2206130584901485,0.07865311255736485
2010-11-10,-0.06399677349949888,297,1.1916507400762801,0.009622793628501825
2010-11-11,0.025360325932914807,296,1.2302327815783038,0.03522715674422061
2010-11-12,-0.020799525439816766,296,1.1936927621652842,0.013694923161529982
2010-11-15,-0.025161465256666536,297,1.1469163320764446,-0.011811126428458052
2010-11-16,0.016643735610470542,296,1.3749245708780202,0.004636027916475438
2010-11-17,0.02669703349591373,299,1.308279435875638,0.03145682960496332
2010-11-18,0.015024746705030227,299,1.4246130649395663,0.046954207206951315
2010-11-19,-0.008940379322565398,301,1.4202912830944765,0.03759403946116535
2010-11-22,0.02638624567792277,300,1.4466124999130217,0.06497225070033585
2010-11-23,0.007470562674582327,300,1.4224566639364453,0.0729281926458838
2010-11-24,-0.005768600534255026,302,1.4327414376093206,0.06673889850056947
2010-11-25,0.004618821845013322,302,1.4217871964974984,0.07166597542788944
2010-11-26,-0.028052061656621725,301,1.3815199526332191,0.041603535409882486
2010-11-29,0.001138255138169537,301,1.4026369952142388,0.04278914598599837
2010-11-30,0.008168605338822113,303,1.442878272136836,0.05130727897116527
2010-12-01,-0.008172300771733951,304,1.3770590037819757,0.042715679683899666
2010-12-02,-0.014811911660158269,304,1.39086837255974,0.027271067149759798
2010-12-03,0.015206432220106189,303,1.3887247644153242,0.04289219500404884
2010-12-06,-0.0016825911192088821,301,1.4280588191996995,0.04113743385844271
2010-12-07,-0.01565951771728071,306,1.439201353737504,0.024833723766812366
2010-12-08,0.01635017001089306,304,1.4298233311031292,0.0415899293832962
2010-12-09,0.031248691691775323,305,1.392613024190516,0.07413825195585289
2010-12-10,0.011870027869242392,304,1.4355607764196634,0.08688830294198802
2010-12-13,-0.003479077231446553,305,1.4617687888758124,0.0831069345940969
2010-12-14,0.003658088222561422,308,1.435913617138085,0.08706903531531007
2010-12-15,0.00335628067377137,303,1.4296705396068037,0.0907175441095942
2010-12-16,-0.009858997852381157,304,1.4116790878382262,0.07996416218466318
2010-12-17,0.010574291787113381,305,1.4602249100419924,0.09138401835522925
2010-12-20,-0.010233891724249773,305,1.4922273132748969,0.08021491248180523
2010-12-21,-0.020332937022592278,305,1.432238934123203,0.05825097069544771
2010-12-22,-0.021364237984856302,307,1.4185495880646852,0.03564224510980507
2010-12-23,-0.028280805461896215,306,1.430277944952776,0.006353448247733207
2010-12-24,-0.014462701559131857,307,1.4791742248285547,-0.008201141337277007
2010-12-27,0.0178084864738568,306,1.5707293437235987,0.009461295222004784
2010-12-28,0.004628194441667602,309,1.52415989437972,0.014133278377629788
2010-12-29,0.020658459836847547,307,1.5246398443315041,0.03508370997820465
2010-12-30,0.015075674316245045,307,1.5474627470175115,0.050688294879886575
2010-12-31,0.0006081832632659137,311,1.5110275816717165,0.05132730591574175
2011-01-04,-0.005489634392120436,313,1.4672222091821634,0.04555590337981141
2011-01-05,-0.008356561976677349,312,1.437542100797088,0.036818650673137165
2011-01-06,-0.02411813021785532,312,1.422396725492091,0.011812523443901268
2011-01-07,-0.009931408790845182,310,1.4432370294829409,0.0017637996538832912
2011-01-10,0.005569191738318164,312,1.4763295151547264,0.007342814330661973
2011-01-11,-0.0005499757989710498,314,1.4581031183819115,0.00678880016151262
2011-01-12,-0.02461261859176811,312,1.4837561578018619,-0.017990908579326503
2011-01-13,-0.04022728308524381,314,1.4765740799876148,-0.05749446629218902
2011-01-14,0.0038568935668139457,313,1.481196686333455,-0.05385932276254479
2011-01-17,0.02500182960038279,313,1.5067168382173857,-0.030204074772263056
2011-01-18,-0.03471378818743258,313,1.544775487386308,-0.06386936510565389
2011-01-19,0.008592848094433347,316,1.5585982454807934,-0.05582533676346135
